1244829,鸭梨,1187,水果,,梨类,1.1,1.5,1.3,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244828,雪花梨,1187,水果,,梨类,1.2,1.6,1.4,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244827,皇冠梨,1187,水果,,梨类,2.2,2.8,2.5,,纸箱,斤,2022-02-18 00:00:00,,138,,admin,,,
1244826,南果梨,1187,水果,,梨类,1.0,4.0,2.5,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244825,丰水梨,1187,水果,,梨类,3.4,4.0,3.7,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244824,酥梨,1187,水果,,梨类,1.6,2.0,1.8,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244823,库尔勒香梨,1187,水果,,梨类,3.5,4.5,4.0,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244822,红啤梨,1187,水果,,梨类,3.5,4.5,4.0,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244821,京白梨,1187,水果,,梨类,1.6,2.0,1.8,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244820,贵妃梨,1187,水果,,梨类,1.5,1.8,1.65,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244819,砂糖橘,1187,水果,,柑橘类,2.3,3.0,2.65,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244818,耙耙柑（丑橘）,1187,水果,,柑橘类,3.2,4.5,3.85,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244817,赣南脐橙Ф65-Ф95,1187,水果,,柑橘类,2.5,3.5,3.0,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244816,鄂、湘、川脐橙,1187,水果,,柑橘类,2.2,3.3,2.75,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244815,血橙/二月红/中华红,1187,水果,,柑橘类,1.5,2.4,1.95,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244814,沃柑,1187,水果,,柑橘类,3.0,5.0,4.0,,贵妃柑,斤,2022-02-18 00:00:00,,138,,admin,,,
1244813,冰糖橙,1187,水果,,柑橘类,1.3,3.5,2.4,,,斤,2022-02-18 00:00:00,,138,,admin,,,
1244812,芦柑,1187,水果,,柑橘类,1.5,2.5,2.0,,,斤,2022-02-18 00:00:00,,138,,admin,,,
