2021年动作喜剧《王牌特工：源起》BD中英双字,magnet:?xt=urn:btih:989e3a3eeecdf25e6a430e16ece489ac0107cc1c&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e7%8e%8b%e7%89%8c%e7%89%b9%e5%b7%a5%ef%bc%9a%e6%ba%90%e8%b5%b7.2021.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2019年剧情爱情《在街上》BD日语中字,magnet:?xt=urn:btih:192841ac1896405b34655226048c4869ad903061&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%9c%a8%e8%a1%97%e4%b8%8a.2019.BD.1080P.%e6%97%a5%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2021年剧情悬疑《玉面情魔/噩梦巷》BD中英双字,magnet:?xt=urn:btih:812abbc72497464cd0914f1bc4ad62406fbe87fa&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e7%8e%89%e9%9d%a2%e6%83%85%e9%ad%94.2021.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2021年剧情犯罪《古驰家族》BD中英双字,magnet:?xt=urn:btih:9e9d3a4576e873a2b62a8094a19845e43e7c1e67&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%8f%a4%e9%a9%b0%e5%ae%b6%e6%97%8f.2021.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2021年剧情《我是监护人》HD国语中英双字,magnet:?xt=urn:btih:246cda64c9c40d16d5858ab2286469976bd61abc&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e6%88%91%e6%98%af%e7%9b%91%e6%8a%a4%e4%ba%ba.2021.HD.4K.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mp4&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2021年动画喜剧《雄狮少年》HD国粤双语中字,magnet:?xt=urn:btih:543bead8dbe2dd4f82f1248f1bad4aea7684edbb&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e9%9b%84%e7%8b%ae%e5%b0%91%e5%b9%b4.2021.HD.1080P.%e5%9b%bd%e7%b2%a4%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2021年剧情历史战争《长津湖》BD国语中字,magnet:?xt=urn:btih:d835df67e0f3ed55a75b22fe81de50a081e6efc7&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e9%95%bf%e6%b4%a5%e6%b9%96.2021.BD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2022年动作《倚天屠龙记之圣火雄风》HD国粤双语中字,magnet:?xt=urn:btih:6afc014e2ca612adf5d2477f9a5cac21d5b4c9a8&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%80%9a%e5%a4%a9%e5%b1%a0%e9%be%99%e8%ae%b0%e4%b9%8b%e5%9c%a3%e7%81%ab%e9%9b%84%e9%a3%8e.2022.HD.1080P.%e5%9b%bd%e7%b2%a4%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2021年悬疑剧情《误杀2》HD国语中英双字,magnet:?xt=urn:btih:761c651d45dec5d7112597f9873c219272382560&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e8%af%af%e6%9d%802.2021.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2022年喜剧《李茂扮太子》HD国语中字,magnet:?xt=urn:btih:b027036714a54cbcd09414f7d0a00e5fed3109d1&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e6%9d%8e%e8%8c%82%e6%89%ae%e5%a4%aa%e5%ad%90.2022.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mp4&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2022年剧情犯罪《克林》BD中英双字,magnet:?xt=urn:btih:78ad1957e45003db46a227a8f5439ad3b98c71f6&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%85%8b%e6%9e%97.2022.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2021年剧情《瀑布》BD国语中字,magnet:?xt=urn:btih:b0bafd1f2452d5f8e2822278c6d7802b0640fada&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e7%80%91%e5%b8%83.2021.BD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2022年动作《倚天屠龙记之九阳神功》HD国粤双语中字,magnet:?xt=urn:btih:376323094654cf6cd42746ba25ef548b2449f829&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%80%9a%e5%a4%a9%e5%b1%a0%e9%be%99%e8%ae%b0%e4%b9%8b%e4%b9%9d%e9%98%b3%e7%a5%9e%e5%8a%9f.2021.HD.1080P.%e5%9b%bd%e7%b2%a4%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
